view,30.2,29.2-1,29.9-1
soap,41.2.2
explain,37.1.1,78-1
soar,51.3.1,45.6-1
tunnel,35.5
modulate,45.4
decompose,45.5,47.2
blackmail,59-1
delouse,10.8
acclaim,33
adhere,22.5
weaken,45.4
donate,13.2-1-1
perch,47.6,9.2-1,50
skirt,47.7,47.8
unglue,23.3
waft,47.3
sizzle,43.2
compliment,33
glimpse,30.2
boat,51.4.1
afflict,31.1
represent,29.2-1-1
sock,18.3
sit,47.6,9.2-1,50
sip,39.2-2
conform,26.9
sin,71
forage,35.5
deepen,45.4
inflate,45.4
construct,26.4,45.4
conceive,29.2-1,97.2
bound,47.8,51.3.2
go_about,98
wobble,49,47.3
fleece,10.6
babble,43.2,37.3
snivel,40.2
photocopy,25.4
straggle,47.7
perambulate,51.3.2
pigeonhole,29.2
mystify,31.1
rocket,51.4.1,45.6-1
submerge,45.4
wrench,10.1
light,26.3-1,45.4
fossilize,45.4
wallpaper,9.9
defeather,10.8
dispossess,10.6
saddle,9.9,13.4.2-1
better,90
scowl,40.2
sprout,43.4,45.5,45.4,47.2
lasso,22.4
walk,51.3.2
sew,22.3-2,9.7-1,26.1
terminate,55.4
sprawl,47.6,50
barge,11.5-1
advertise,35.2
thatch,9.9
set,25.1,9.1-2,41.2.2,26.3-2,59-1
shrill,43.2
perplex,31.1
bear_on,86.2-1
enhance,45.4
wake,45.4
skate,51.4.1-1
slaughter,42.1,13.5.1
consolidate,22.1-1,22.2-1-1,22.2-2-1
shrimp,13.7
audit,34.1
preen,41.1.1
languish,47.1-1
feud,36.4-1
throng,47.5.1-2
haggle,36.1
diminish,45.4,45.6-1
see,29.9-1-1,30.1-1,29.2-1
trammel,22.4
recollect,29.2-1-1
outlaw,29.7
fleck,9.8
shackle,22.4
scorn,33
yield,13.3,95
spy,30.2
glide,51.3.1,51.3.2
concern,31.1,86.2-1
cajole,59-1
score,13.5.1-1
halter,9.9
persist,47.1-1
chew,39.2-1
deliver,11.1
weekend,56
combine,22.1-1-1
approximate,54.4,34.2
embrace,36.2
inhibit,67
vociferate,37.3
sow,9.7-1
heighten,45.4
sop,9.3
credential,101
emasculate,45.4
sod,9.9
salve,9.9
sob,40.2
satellite,37.4
crayon,25.2
moralize,37.11-1
terrify,31.1,59-1
merge,22.1-1-1
mantle,9.9
hammer,18.4-1,18.1-1,9.3-2-1,26.1
garrotte,42.2
nasalize,45.4
counsel,37.9-1
sign_up,13.5.3
nominate,29.1
kindle,26.3-1,45.4,27
scour,35.2,10.4.1-1
birch,18.3
scout,35.2
deflower,10.8
pollute,9.8-1
wince,40.5
fanaticize,45.4
detonate,45.4
interview,37.1.3
taunt,31.1
design,26.4-1
jabber,37.3
snub,33
cause,27
bifurcate,45.4
char,45.4,45.3
disgrace,31.1
