Symbol,Date,Open,High,Low,Close,Volume,OpenInterest
SNP,2006-04-03,0.58,0.58,0.57,0.575,3216000
SNP,2006-04-04,0.565,0.57,0.535,0.545,9934500
SNP,2006-04-05,0.535,0.55,0.535,0.54,4777500
SNP,2006-04-06,0.51,0.53,0.499,0.515,10458000
SNP,2006-04-07,0.515,0.53,0.51,0.525,2707000
SNP,2006-04-10,0.53,0.54,0.525,0.54,1742500
SNP,2006-04-11,0.54,0.55,0.535,0.545,4090000
SNP,2006-04-12,0.535,0.545,0.535,0.545,1171500
SNP,2006-04-13,0.545,0.545,0.525,0.535,2665000
SNP,2006-04-14,0.53,0.535,0.525,0.535,774000
SNP,2006-04-17,0.535,0.545,0.535,0.54,1619500
SNP,2006-04-18,0.535,0.54,0.535,0.54,2790500
SNP,2006-04-19,0.535,0.54,0.53,0.535,1885000
SNP,2006-04-20,0.53,0.54,0.53,0.535,1401500
SNP,2006-04-21,0.53,0.54,0.53,0.54,793000
SNP,2006-04-28,0.545,0.57,0.545,0.565,9951000
SNP,2006-05-02,0.56,0.565,0.555,0.565,3340000
SNP,2006-05-03,0.56,0.565,0.545,0.555,3626000
SNP,2006-05-04,0.55,0.555,0.54,0.54,2836000
SNP,2006-05-05,0.55,0.56,0.54,0.555,4148000
SNP,2006-05-08,0.55,0.565,0.55,0.565,4409000
SNP,2006-05-09,0.54,0.55,0.54,0.55,4474000
SNP,2006-05-10,0.54,0.55,0.54,0.54,2128500
SNP,2006-05-12,0.535,0.54,0.535,0.54,1875000
SNP,2006-05-15,0.54,0.54,0.52,0.52,3782000
SNP,2006-05-16,0.55,0.55,0.525,0.525,6994500
SNP,2006-05-17,0.53,0.54,0.525,0.53,3360500
SNP,2006-05-18,0.525,0.53,0.505,0.505,6584000
SNP,2006-05-19,0.505,0.515,0.505,0.51,1875500
SNP,2006-05-22,0.515,0.515,0.495,0.499,3102500
SNP,2006-05-23,0.496,0.505,0.44,0.441,10089500
SNP,2006-05-24,0.476,0.49,0.465,0.471,9520500
SNP,2006-05-25,0.479,0.492,0.474,0.486,3065000
SNP,2006-05-26,0.487,0.52,0.487,0.52,5187000
SNP,2006-05-29,0.515,0.525,0.505,0.505,2398000
SNP,2006-05-30,0.505,0.515,0.5,0.51,3997500
SNP,2006-05-31,0.505,0.515,0.5,0.51,2981500
SNP,2006-06-01,0.51,0.51,0.5,0.5,2898000
SNP,2006-06-02,0.5,0.52,0.5,0.515,3258500
SNP,2006-06-05,0.51,0.515,0.51,0.515,654000
SNP,2006-06-06,0.505,0.515,0.505,0.515,1590500
SNP,2006-06-07,0.515,0.52,0.51,0.515,8296000
SNP,2006-06-08,0.51,0.515,0.5,0.505,8213500
SNP,2006-06-09,0.505,0.51,0.5,0.505,4500500
SNP,2006-06-12,0.505,0.51,0.5,0.505,15111500
SNP,2006-06-13,0.5,0.505,0.496,0.5,8401000
SNP,2006-06-14,0.499,0.5,0.495,0.495,1033500
SNP,2006-06-15,0.493,0.499,0.485,0.485,1263500
SNP,2006-06-16,0.487,0.5,0.482,0.492,5854500
SNP,2006-06-19,0.49,0.495,0.488,0.494,874000
SNP,2006-06-20,0.491,0.495,0.489,0.49,2204500
SNP,2006-06-21,0.488,0.49,0.487,0.488,1030000
SNP,2006-06-22,0.486,0.49,0.483,0.485,2341500
SNP,2006-06-23,0.481,0.487,0.478,0.479,1152000
SNP,2006-06-26,0.476,0.476,0.46,0.47,2822000
SNP,2006-06-27,0.46,0.465,0.458,0.458,2041000
SNP,2006-06-28,0.455,0.475,0.452,0.475,3292000
SNP,2006-06-29,0.475,0.497,0.475,0.495,1459500
SNP,2006-06-30,0.499,0.51,0.497,0.51,2140500
SNP,2006-07-03,0.51,0.52,0.505,0.515,3557500
SNP,2006-07-04,0.52,0.54,0.52,0.53,3500500
SNP,2006-07-05,0.525,0.525,0.51,0.515,1657500
SNP,2006-07-06,0.515,0.52,0.505,0.515,2091500
SNP,2006-07-07,0.515,0.525,0.515,0.525,6148500
SNP,2006-07-10,0.52,0.53,0.515,0.52,3383000
SNP,2006-07-11,0.515,0.52,0.505,0.52,2330500
SNP,2006-07-12,0.51,0.52,0.51,0.515,2017000
SNP,2006-07-13,0.515,0.52,0.51,0.515,4561000
SNP,2006-07-14,0.505,0.52,0.505,0.515,3269500
SNP,2006-07-17,0.505,0.525,0.505,0.525,3546500
SNP,2006-07-18,0.525,0.54,0.52,0.535,13809000
SNP,2006-07-19,0.54,0.54,0.515,0.52,4817500
SNP,2006-07-20,0.52,0.53,0.515,0.525,2461000
SNP,2006-07-21,0.52,0.53,0.52,0.52,1884000
SNP,2006-07-24,0.52,0.52,0.51,0.515,2081000
